% COMP47490 2018 - Assignment 1 Q1
% Dataset marketing for student ID number 15464068
@relation marketing-15464068

@attribute age numeric
@attribute job {education,tech,entrepreneur,retail,management,retired,self-employed,services,student,construction,unemployed,unknown}
@attribute status {divorced,married,single}
@attribute education {primary,secondary,tertiary,unknown}
@attribute has_defaulted {no,yes}
@attribute balance numeric
@attribute housing_loan {no,yes}
@attribute personal_loan {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_day numeric
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_contacts numeric
@attribute num_days numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}
@attribute class {yes,no}

@data
59,unknown,married,unknown,no,3940,no,no,unknown,5,jun,48,2,-1,0,unknown,yes
34,construction,married,tertiary,no,197,no,no,email,20,aug,78,3,-1,0,unknown,no
30,management,single,tertiary,no,2,yes,yes,email,25,jul,1031,8,-1,0,unknown,no
27,services,married,secondary,no,0,yes,no,email,23,jul,198,13,-1,0,unknown,yes
37,management,divorced,tertiary,no,0,yes,no,email,11,may,217,6,-1,0,unknown,yes
37,construction,single,secondary,no,-242,yes,no,email,13,aug,1149,6,-1,0,unknown,no
37,construction,married,secondary,no,712,yes,no,email,18,nov,291,2,-1,0,unknown,yes
32,construction,single,secondary,no,0,no,no,email,18,aug,594,4,-1,0,unknown,no
32,construction,married,secondary,no,782,yes,no,unknown,26,may,116,4,-1,0,unknown,yes
48,management,married,tertiary,no,1167,yes,yes,email,1,jun,264,1,-1,0,unknown,no
43,tech,married,secondary,no,105,no,yes,email,4,jul,668,2,-1,0,unknown,yes
74,retired,divorced,secondary,no,4079,no,no,email,19,oct,343,3,-1,0,unknown,no
34,self-employed,single,tertiary,no,462,no,no,email,21,aug,1877,3,-1,0,unknown,no
45,management,divorced,tertiary,no,959,no,no,unknown,18,jun,74,1,-1,0,unknown,yes
39,entrepreneur,married,primary,no,238,yes,yes,email,19,nov,134,1,-1,0,unknown,yes
58,management,married,tertiary,no,172,no,no,email,19,aug,145,7,-1,0,unknown,yes
34,tech,divorced,secondary,no,0,no,yes,unknown,21,may,339,1,-1,0,unknown,yes
36,management,divorced,tertiary,no,608,no,no,email,26,aug,125,2,-1,0,unknown,yes
83,retired,divorced,primary,no,1097,no,no,phone,5,mar,181,1,-1,0,unknown,no
31,tech,single,secondary,no,16,no,no,email,7,jul,387,1,-1,0,unknown,yes
40,construction,married,secondary,no,0,yes,yes,email,26,jul,105,2,172,1,failure,yes
40,management,married,tertiary,no,0,no,no,email,10,nov,147,1,96,8,success,no
50,tech,married,primary,no,-1,no,no,email,19,aug,195,2,-1,0,unknown,yes
40,tech,married,primary,no,2805,yes,no,email,14,may,173,6,353,23,failure,yes
49,tech,single,primary,no,1040,no,no,email,8,jul,474,2,-1,0,unknown,yes
28,education,married,secondary,no,-97,yes,no,email,29,jan,79,1,224,2,success,yes
38,services,married,secondary,no,-762,yes,yes,unknown,30,may,408,2,-1,0,unknown,yes
33,construction,married,secondary,no,4790,yes,no,email,20,apr,137,1,272,2,failure,yes
38,entrepreneur,married,tertiary,no,170,yes,no,email,18,may,442,1,-1,0,unknown,no
41,construction,married,tertiary,no,13,no,no,unknown,5,jun,189,2,-1,0,unknown,yes
42,management,married,tertiary,no,372,yes,no,email,3,aug,654,2,-1,0,unknown,no
65,unknown,married,unknown,no,4717,no,no,phone,6,aug,256,1,-1,0,unknown,no
30,tech,single,secondary,no,180,no,no,email,14,jul,203,1,183,2,failure,yes
43,management,single,tertiary,no,1304,no,no,email,6,aug,501,2,-1,0,unknown,no
51,management,married,tertiary,no,176,yes,yes,unknown,1,jun,8,1,687,2,failure,yes
53,entrepreneur,married,tertiary,no,624,no,yes,email,21,jul,180,4,-1,0,unknown,yes
60,education,married,unknown,no,1088,yes,no,email,26,may,149,1,-1,0,unknown,yes
46,management,married,tertiary,no,273,yes,no,email,18,mar,910,2,184,4,success,no
51,services,married,secondary,no,0,no,no,email,18,jul,439,3,-1,0,unknown,yes
47,education,single,secondary,no,3696,no,no,email,12,jul,250,2,181,4,success,no
31,management,single,tertiary,no,3283,no,no,email,2,feb,258,1,73,1,failure,no
47,tech,married,secondary,no,1230,yes,no,email,30,apr,412,1,169,1,success,no
53,entrepreneur,married,tertiary,no,22370,yes,no,unknown,15,may,106,1,-1,0,unknown,yes
31,tech,married,secondary,no,191,yes,no,unknown,2,jun,40,1,-1,0,unknown,yes
52,education,single,unknown,no,2227,no,no,email,24,feb,242,2,-1,0,unknown,no
41,construction,married,tertiary,no,532,yes,no,email,9,jul,74,1,-1,0,unknown,yes
31,tech,married,secondary,no,-498,yes,no,email,21,jul,357,1,-1,0,unknown,yes
51,tech,married,primary,no,40,yes,no,email,13,may,79,1,370,1,failure,yes
31,tech,married,secondary,no,1545,yes,yes,email,13,may,207,1,-1,0,unknown,yes
43,entrepreneur,married,secondary,no,104,yes,no,email,18,jul,634,3,-1,0,unknown,no
